"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Journal of Alzheimer's Disease","Neurosciences - Clinical Neuroscience","Sage Publishing (IOS Press)","For-profit","Hybrid","1700"
"Journal of Analytical Toxicology","Immunology - Immunotoxicology","Oxford University Press (OUP)","University Press associated with a society","",""
"Journal of Anatomy","Anatomy & Physiology - Anatomy; Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2164"
"Journal of Animal Ecology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2151"
"Journal of Animal Science","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3374"
"Journal of Antibiotics","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Springer Nature","For-profit","Hybrid","1938"
"Journal of Applied Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2188"
"Journal of Applied Microbiology","Ecology & Evolution - Microbiology; Molecular & Cellular Biology - Methodology and Experimental Techniques","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2309"
"Journal of Applied Phycology","Plants - Generalist","Springer Nature","For-profit associated with a society","Hybrid","2584"
"Journal of Applied Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","Hybrid","1935"
"Journal of Applied Psychology","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid",""
"Journal of Applied Toxicology","Immunology - Immunotoxicology","John Wiley & Sons","For-profit","Hybrid","3207"
"Journal of Arachnology","Ecology & Evolution - Zoology","American Arachnological Society","Non-profit","Hybrid",""
"Journal of Arid Land","Ecology & Evolution - Genetics","Springer Nature","For-profit","Hybrid","2185"
"Journal of Asian Ornithology","Ecology & Evolution - Zoology","Oriental Bird Club","Non-profit","Subscription",""
"Journal of Asia-Pacific Entomology","Ecology & Evolution - Zoology","Elsevier","For-profit associated with a society","Hybrid","2661"
"Journal of Asthma and Allergy","Immunology - Allergy and Hypersensitivity","Taylor & Francis Group (Dovepress)","For-profit","OA","2833"
"Journal of Attention Disorders","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","1137"
"Journal of Autism and Developmental Disorders","Development - Neuroscience; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","2798"
"Journal of Autoimmunity","Immunology - Autoimmunity","Elsevier","For-profit","Hybrid","4220"
"Journal of Avian Biology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","OA","2164"
"Journal of Bacteriology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","Hybrid","2502"
"Journal of Bat Research and Conservation","Ecology & Evolution - Zoology","Spanish Society of Bat Research and Conservation","Non-profit","OA diamond","0"
"Journal of Behavioral Addictions","Neurosciences - Addiction","Wolters Kluwer (Akadémiai Kiadó (AK) Journals)","For-profit associated with a society","OA","818"
"Journal of Biochemical and Molecular Toxicology","Immunology - Immunotoxicology","John Wiley & Sons","For-profit","Hybrid","3133"
"Journal of Bioenergetics Biomembranes","Molecular & Cellular Biology - Biotechnology and Bioengineering","Springer Nature","For-profit","Hybrid","2590"
"Journal of Bioinformatics and Computational Biology","Generalist - Computational Biology","World Scientific Publishing","For-profit","",""
"Journal of Biological Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit associated with a society","OA","2352"
"Journal of Biological Inorganic Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Springer Nature","For-profit associated with a society","Hybrid",""
"Journal of Biological Research (Italy)","Generalist","PAGEPress Publications","For-profit associated with a society","OA","180"
"Journal of Biological Research Thessaloniki","Ecology & Evolution - Genetics","Aristotle University of Thessaloniki","Non-profit","OA","1618"
"Journal of Biological Rhythms","Anatomy & Physiology - Physiology","Sage Publishing","For-profit associated with a society","Hybrid","1603"
"Journal of Biological Systems","Generalist","World Scientific Publishing","For-profit","",""
"Journal of Biomolecular NMR","Molecular & Cellular Biology - Methodology and Experimental Techniques","Springer Nature","For-profit","Hybrid","2569"
"Journal of Biopharmaceutical Statistics","Generalist - Statistics","Taylor & Francis Group","For-profit","Hybrid","2011"
"Journal of Biophotonics","Generalist - Methods","John Wiley & Sons","For-profit","Hybrid","3134"
"Journal of Bone Oncology","Cancer - Bone and muscle sarcoma","Elsevier","For-profit associated with a society","OA","1858"
"Journal of Breath Research","Anatomy & Physiology - Physiology","Institute of Physics (IOP) Publishing","Non-profit","Hybrid","1808"
"Journal of Bryology","Ecology & Evolution - Genetics; Plants - Generalist","Taylor & Francis Group","For-profit associated with a society","Hybrid",""
"Journal of Cachexia Sarcopenia Muscle","Generalist - Clinical/Medicine","John Wiley & Sons","For-profit associated with a society","OA","2832"
"Journal of Cancer Research & Therapeutics","Cancer - Generalist","Wolters Kluwer Medknow","For-profit associated with a society","OA",""
"Journal of Carcinogenesis","Cancer - Generalist","Wolters Kluwer Medknow","For-profit","OA",""
"Journal of Cardio-Oncology","Cancer - Hematopoietic and Cardiovascular Cancer","Wolters Kluwer (Lippincott)","For-profit associated with a society","",""
"Journal of Caribbean Ornithology","Ecology & Evolution - Zoology","BirdsCaribbean","Non-profit","OA",""
"Journal of Causal Inference","Generalist - Statistics","De Gruyter Brill","For-profit","OA","857"
"Journal of Cell Biology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Rockefeller University Press","University Press","Hybrid","3016"
"Journal of Cell Communication and Signaling","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","OA","2604"
"Journal of Cell Science","Molecular & Cellular Biology - Cell Biology and Developmental Biology","The Company of Biologists","Non-profit","Hybrid","3822"
"Journal of Cellular and Molecular Medicine","Molecular & Cellular Biology - Clinical and Medical Sciences","John Wiley & Sons","For-profit","OA","3434"
"Journal of Cellular Biochemistry","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","Hybrid","2858"
"Journal of Cellular Physiology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","Hybrid","4185"
"Journal of Central Nervous System Disease","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","OA",""
"Journal of Chemical Ecology","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2584"
"Journal of Child Neurology","Development - Childhood and Adolescence; Neurosciences - Developmental Neuroscience","Sage Publishing","For-profit","",""
"Journal of Chromatography A","Generalist - Methods","Elsevier","For-profit","Hybrid","3687"
"Journal of Chromatography B Analytical Technologies in the Biomedical and Life Sciences","Generalist - Methods","Elsevier","For-profit","",""
"Journal of Clinical and Experimental Neuropsychology","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","",""
"Journal of Clinical Immunology","Immunology - Clinical Immunology","Springer Nature","For-profit","Hybrid","3001"
"Journal of Clinical Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","Hybrid","2786"
"Journal of Clinical Oncology","Cancer - Generalist","American Society of Clinical Oncology","Non-profit","Hybrid","3681"
"Journal of Clinical Virology","Immunology - Virology","Elsevier","For-profit associated with a society","Hybrid","2534"
"Journal of Coastal Conservation","Ecology & Evolution - Genetics","Springer Nature","For-profit","Hybrid","2625"
"Journal of Coastal Research","Ecology & Evolution - Genetics","Coastal Education and Research Foundation","Non-profit","Subscription",""
"Journal of Cognition","Neurosciences - Cognitive Neuroscience","Ubiquity Press Ltd","Non-profit","OA","1077"
"Journal of Cognitive Neuroscience","Neurosciences - Cognitive Neuroscience","MIT press direct","University Press","Hybrid","1525"
"Journal of Cognitive Psychology","Neurosciences - Cognitive Neuroscience","Taylor & Francis Group","For-profit","Hybrid","3248"
"Journal of Comparative Neurology","Neurosciences - Generalist","John Wiley & Sons","For-profit","Hybrid","3045"
"Journal of Comparative Physiology A Neuroethology Sensory Neural and Behavioral Physiology","Anatomy & Physiology - Physiology; Neurosciences - Generalist","Springer Nature","For-profit","Hybrid",""
"Journal of Comparative Physiology B Biochemical Systemic and Environmental Physiology","Anatomy & Physiology - Physiology","Springer Nature","For-profit","Hybrid",""
"Journal of Comparative Psychology","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","",""
"Journal of Computational and Graphical Statistics","Generalist - Computational Biology","Taylor & Francis Group","For-profit associated with a society","Hybrid","1811"
"Journal of Computational Biology","Generalist - Computational Biology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","4004"
"Journal of Computational Neuroscience","Neurosciences - Methods","Springer Nature (BioMed Central)","For-profit","Hybrid","2845"
"Journal of Computer Applications in Archaeology","Ecology & Evolution - Theory","Ubiquity Press","For-profit associated with a society","OA","509"
"Journal of Crohn's and Colitis","Immunology - Clinical Immunology","Oxford University Press (OUP)","University Press","Hybrid","2877"
"Journal of Crustacean Biology","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid",""
"Journal of Developmental and Behavioral Pediatrics","Development - Generalist","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","3234"
"Journal of Developmental Origins of Health and Disease","Development - Generalist","Cambridge University Press (CUP)","University Press","Hybrid","2526"
"Journal of Eating Disorders","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","1777"
"Journal of Ecohydraulics","Ecology & Evolution - Genetics","Taylor & Francis Group","For-profit associated with a society","Hybrid","1594"
"Journal of Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2113"
"Journal of Economic Entomology","Ecology & Evolution - Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2885"
"Journal of ECT","Neurosciences - Neuromodulation","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","2838"
"Journal of Endocrinology","Anatomy & Physiology - Endocrinology","Society for Endocrinology","Non-profit","Hybrid","1984"
"Journal of Environmental Science and Health, Part C: Toxicology and Carcinogenesis","Cancer - Generalist","Taylor & Francis Group","For-profit","",""
"Journal of Epidemiology","Immunology - Epidemiology","Immunology","Non-profit","OA","875"
"Journal of Epidemiology and Community Health","Immunology - Epidemiology","BMJ Group","Non-profit","Hybrid","3230"
"Journal of Epidemiology and Global Health","Immunology - Epidemiology","Springer Nature","For-profit","OA","1927"
"Journal of Epidemiology and Population Health","Immunology - Epidemiology","Elsevier","For-profit","",""
"Journal of Ethnicity in Substance Abuse","Neurosciences - Addiction","Taylor & Francis Group","For-profit","Hybrid","2020"
"Journal of Eukaryotic Microbiology","Ecology & Evolution - Microbiology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","John Wiley & Sons","For-profit associated with a society","Hybrid","2474"
"Journal of Evolutionary Biology","Ecology & Evolution - Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2296"
"Journal of Experimental Botany","Ecology & Evolution - Genetics; Plants - Generalist","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2752"
"Journal of Experimental & Clinical Cancer Research","Cancer - Generalist","Springer Nature (BioMed Central)","For-profit","OA","3175"
"Journal of Experimental Psychology: General","Neurosciences - Behavioral Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3552"
"Journal of Experimental Psychology : Learning, Memory, and Cognition","Neurosciences - Behavioral Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","2675"
"Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","Ecology & Evolution - Zoology; Genetics & Genomics - Genetics","John Wiley & Sons","For-profit","Hybrid","3095"
"Journal of Experimental Zoology Part B: Molecular and Developmental Evolution","Development - Generalist; Ecology & Evolution - Zoology; Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","Hybrid","2550"
"Journal of Extracellular Vesicles","Molecular & Cellular Biology - Methodology and Experimental Techniques","John Wiley & Sons","For-profit associated with a society","OA","2948"
"Journal of Field Ornithology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","1205"
"Journal of Fish Biology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit","Hybrid","2433"
"Journal of Fluency Disorders","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2652"
"Journal of Fluorescence","Generalist - Methods","Springer Nature","For-profit","Hybrid","2936"
"Journal of Gastric Cancer","Cancer - Gastrointestinal cancer","Korean Gastric Cancer Association","Non-profit","OA",""
"Journal of Gastrointestinal Oncology","Cancer - Gastrointestinal cancer","Wolters Kluwer","For-profit associated with a society","OA","1442"
"Journal of General Physiology","Anatomy & Physiology - Physiology","Rockefeller University Press","University Press","Hybrid","3108"
"Journal of General Virology","Ecology & Evolution - Microbiology; Immunology - Virology","Microbiology Society","Non-profit","Hybrid","2594"
"Journal of Genetics and Genomics","Genetics & Genomics - Generalist","Elsevier","For-profit","Hybrid","3433"
"Journal of Geriatric Oncology","Cancer - Development and Oncology","Elsevier","For-profit associated with a society","Hybrid","3100"
"Journal of Geriatric Psychiatry and Neurology","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","",""
"Journal of Ginseng Research","Plants - Agriculture","Elsevier","For-profit associated with a society","OA",""
"Journal of Global Antimicrobial Resistance","Immunology - Immunopathology","Elsevier","For-profit associated with a society","OA","1444"
"Journal of Global Health","Ecology & Evolution - Health; Generalist - Clinical/Medicine","Edinburgh University Global Health Society","Non-profit","OA","2077"
"Journal of Graph Algorithms and Applications","Generalist - Mathematical Biology","Brown University","Non-profit","OA diamond","0"
"Journal of Hematology and Oncology","Cancer - Hematopoietic and Cardiovascular Cancer","Springer Nature (BioMed Central)","For-profit","OA","2693"
"Journal of Heredity","Ecology & Evolution - Genetics; Genetics & Genomics - Genetics","Oxford University Press (OUP)","University Press associated with a society","Hybrid","1196"
"Journal of Herpetology","Ecology & Evolution - Zoology","Society for the Study of Amphibians and Reptiles","Non-profit","Hybrid",""
"Journal of Human Genetics","Genetics & Genomics - Human Genetics","Springer Nature","For-profit","Hybrid","2491"
"Journal of Human Lactation","Development - Childhood and Adolescence","Sage Publishing","For-profit associated with a society","Hybrid","2543"
"Journal of Hymenoptera Research","Ecology & Evolution - Zoology","PenSoft","For-profit associated with a society","OA","752"
"Journal of Immunoassay & Immunochemistry","Immunology - Immunogenetics, Molecular and Cellular Immunology","Taylor & Francis Group","For-profit","",""
"Journal of Immunological Methods","Immunology - Generalist/Classical Immunology","Elsevier","For-profit","Hybrid","2641"
"Journal of Immunology Research","Immunology - Generalist/Classical Immunology","John Wiley & Sons","For-profit","OA","1947"
"Journal of Immunotherapy","Cancer - Treatment","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3473"
"Journal of Infection","Immunology - Immunopathology","Elsevier","For-profit associated with a society","Hybrid","2738"
"Journal of Infection and Chemotherapy","Cancer - Treatment; Immunology - Immunooncology","Elsevier","For-profit associated with a society","Hybrid","2270"
"Journal of Infection Prevention","Immunology - Immunopathology","Sage Publishing","For-profit associated with a society","",""
"Journal of Inflammation","Immunology - Inflammation","Springer Nature (BioMed Central)","For-profit associated with a society","OA","3189"
"Journal of Inflammation Research","Immunology - Inflammation","Taylor & Francis Group (Dovepress)","For-profit","OA","2327"
"Journal of Inherited Metabolic Disease","Genetics & Genomics - Medical Genetics; Molecular & Cellular Biology - Biochemistry and Molecular Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","2464"
"Journal of Innate Immunity","Immunology - Generalist/Classical Immunology","Karger Publishers","For-profit","OA","2209"
"Journal of Inorganic Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3077"
"Journal of Insect Science","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","OA","1595"
"Journal of Integrative Neuroscience","Neurosciences - Generalist","IMR","For-profit","OA","1624"
"Journal of Integrative Plant Biology","Plants - Generalist","John Wiley & Sons","For-profit","Hybrid","2052"
"Journal of Interferon and Cytokine Research","Immunology - Immunogenetics, Molecular and Cellular Immunology","Sage Publishing (Mary-Ann Liebert)","For-profit associated with a society","Hybrid","3060"
"Journal of Investigational Allergology and Clinical Immunology","Immunology - Allergy and Hypersensitivity","Spanish Society of Allergology and Clinical Immunology","Non-profit","OA","1015"
"Journal of Leukocyte Biology","Molecular & Cellular Biology - Immunology and Cellular Immunology","Oxford University Press (OUP)","University Press","Hybrid","2724"
"Journal of Limnology","Ecology & Evolution - Genetics","PagePress","For-profit","OA","680"
"Journal of Lipid Research","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Society for Biochemistry and Molecular Biology (ASBMB)","Non-profit","OA","2384"
"Journal of Liposome Research","Molecular & Cellular Biology - Methodology and Experimental Techniques","Taylor & Francis Group","For-profit associated with a society","",""
"Journal of Liver Transplantation","Immunology - Transplant Immunology","Elsevier","For-profit","OA","1800"
"Journal of Magnetic Resonance","Generalist - Methods","Elsevier","For-profit associated with a society","Hybrid","2989"
"Journal of Magnetic Resonance Imaging","Generalist - Methods","John Wiley & Sons","For-profit associated with a society","Hybrid","2585"
"Journal of Mammalian Evolution","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2604"
"Journal of Mammalogy","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2093"
"Journal of Mass Spectrometry","Generalist - Methods","John Wiley & Sons","For-profit","Hybrid","2590"
"Journal of Mathematical Biology","Generalist - Mathematical Biology","Springer Nature","For-profit","Hybrid","2217"
"Journal of Medical Entomology","Ecology & Evolution - Health","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2476"
"Journal of Medical Genetics","Genetics & Genomics - Medical Genetics","BMJ Group","Non-profit","Hybrid","3113"
"Journal of Medical Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Microbiology Society","Non-profit","OA","2672"
"Journal of Medical Virology","Immunology - Virology","John Wiley & Sons","For-profit","Hybrid","3170"
"Journal of Membrane Biology","Molecular & Cellular Biology - Methodology and Experimental Techniques","Springer Nature","For-profit","Hybrid","2604"
"Journal of Microbiology and Biotechnology","Ecology & Evolution - Microbiology; Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Korean Society for Microbiology and Biotechnology (KMB)","Non-profit","Hybrid","622"
"Journal of Microbiology Immunology & Infection","Immunology - Immunopathology","Elsevier","For-profit associated with a society","OA","1144"
"Journal of Molecular and Cellular Cardiology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit associated with a society","Hybrid","2364"
"Journal of Molecular Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","2786"
"Journal of Molecular Cell Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Oxford University Press (OUP)","University Press","OA","2317"
"Journal of Molecular Endocrinology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Society for Endocrinology","Non-profit","Subscription","3966"
"Journal of Molecular Histology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","Hybrid","2544"
"Journal of Molecular Medicine","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Springer Nature","For-profit","Hybrid","2967"
"Journal of Molecular Neuroscience","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Springer Nature","For-profit","Hybrid","2908"
"Journal of Molluscan Studies","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2362"
"Journal of Morphology","Development - Generalist","John Wiley & Sons","For-profit","Hybrid","2980"
"Journal of Motor Behavior","Neurosciences - Neurophysiology","Taylor & Francis Group","For-profit","Hybrid","4972"
"Journal of Multiple Sclerosis Research","Neurosciences - Clinical Neuroscience","Multiple Sclerosis Research Association","Non-profit","",""
"Journal of Multiple Sclerosis Research and Neuroimmunology","Immunology - Neuroimmunology; Neurosciences - Neuroimmunology","Korean Society of Neuroimmunology","Non-profit","",""
"Journal of Musculoskeletal and Neuronal Interactions","Neurosciences - Neurophysiology","Hylonome Publications","For-profit associated with a society","Hybrid","263"
"Journal of Natural Products","Molecular & Cellular Biology - Biotechnology and Bioengineering; Plants - Molecular and Cellular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","2456"
"Journal of Nervous and Mental Disease","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3405"
"Journal of Neural Transmission","Neurosciences - Molecular and Cellular Neuroscience","Springer Nature","For-profit","Hybrid","3537"
"Journal of Neurochemistry","Neurosciences - Molecular and Cellular Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2066"
"Journal of Neurodevelopmental Disorders","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2412"
"Journal of Neuroendocrinology","Neurosciences - Neurophysiology","John Wiley & Sons","For-profit associated with a society","Hybrid","2126"
"Journal of Neuroengineering and Rehabilitation","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2471"
"Journal of Neurogenetics","Genetics & Genomics - Neurogenetics; Neurosciences - Neurogenetics","Taylor & Francis Group","For-profit","Hybrid","2250"
"Journal of Neuroimaging","Neurosciences - Methods","John Wiley & Sons","For-profit associated with a society","Hybrid","3202"
"Journal of Neuroimmune Pharmacology","Immunology - Neuroimmunology; Neurosciences - Neuroimmunology","Springer Nature","For-profit","Hybrid","3138"
"Journal of Neuroimmunology","Neurosciences - Neuroimmunology","Elsevier","For-profit","Hybrid","2938"
"Journal of Neuroinflammation","Neurosciences - Neuroimmunology","Springer Nature (BioMed Central)","For-profit","OA","2669"
"Journal of Neurolinguistics","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit","Hybrid","2023"
"Journal of Neurologic Physical Therapy","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","",""
"Journal of Neurology","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3370"
"Journal of Neurology, Neurosurgery and Psychiatry","Neurosciences - Clinical Neuroscience","BMJ Group","Non-profit","Hybrid","3655"
"Journal of Neuro-Oncology","Cancer - Neuro-Oncology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3701"
"Journal of Neuro-Ophthalmology","Neurosciences - Sensory Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3226"
"Journal of Neuropathology and Experimental Neurology","Neurosciences - Clinical Neuroscience","Oxford University Press (OUP)","University Press","Hybrid","1883"
"Journal of Neurophysiology","Anatomy & Physiology - Physiology; Neurosciences - Neurophysiology","American Physiology Society (APS)","Non-profit","Hybrid","3079"
"Journal of Neuroscience","Neurosciences - Generalist","Society for Neuroscience","Non-profit","Hybrid","2984"
"Journal of Neuroscience Methods","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2098"
"Journal of Neuroscience, Psychology, and Economics","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","4109"
"Journal of Neuroscience Research","Neurosciences - Generalist","John Wiley & Sons","For-profit","Hybrid","4305"
"Journal of Neurotrauma","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","2862"
"Journal of Neurovirology","Immunology - Neuroimmunology; Neurosciences - Neuroimmunology","Springer Nature","For-profit","Hybrid","2420"
"Journal of Obsessive and Compulsive Related Disorders","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","2131"
"Journal of Open Source Software","Generalist - Methods","Journal of Open Source Software","Non-profit","OA diamond","0"
"Journal of Ophthalmic and Vision Research","Neurosciences - Sensory Neuroscience","KnE Open","For-profit associated with a society","OA",""
"Journal of Ophthalmic Inflammation and Infection","Immunology - Inflammation","Springer Nature","For-profit associated with a society","OA","1456"
"Journal of Oral & Facial Pain and Headache","Neurosciences - Pain","MRE Press","For-profit","",""
"Journal of Ornithology","Ecology & Evolution - Zoology","Springer Nature","For-profit associated with a society","Hybrid","2818"
"Journal of Orthoptera Research","Ecology & Evolution - Zoology","PenSoft","For-profit associated with a society","OA",""
"Journal of Ovarian Research","Development - Reproduction","Springer Nature (BioMed Central)","For-profit","OA","2057"
"Journal of Pain Research","Neurosciences - Pain","Taylor & Francis Group","For-profit","OA","2145"
"Journal of Parkinson's Disease","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","OA","1989"
"Journal of Pathology","Immunology - Immunopathology","John Wiley & Sons","For-profit associated with a society","Hybrid","4277"
"Journal of Pathology and Translational Medicine","Immunology - Immunopathology","The Korean Society of Pathologists and The Korean Society for Cytopathology","Non-profit","OA",""
"Journal of Pathology Informatics","Immunology - Immunopathology","Elsevier","For-profit associated with a society","OA","923"
"Journal of Pathology, Microbiology and Immunology - the APMIS journal","Immunology - Immunogenetics, Molecular and Cellular Immunology","John Wiley & Sons","For-profit","Hybrid","2810"
"Journal of Pediatric Endocrinology and Metabolism","Development - Childhood and Adolescence","De Gruyter Brill","For-profit associated with a society","Hybrid","2428"
"Journal of Pediatric Gastroenterology and Nutrition","Development - Childhood and Adolescence","John Wiley & Sons","For-profit","OA","3280"
"Journal of Pediatric Hematology & Oncology","Cancer - Development and Oncology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3421"
"Journal of Peptide Science","Molecular & Cellular Biology - Methodology and Experimental Techniques","John Wiley & Sons","For-profit associated with a society","Hybrid","2155"
"Journal of Perinatal Medicine","Development - Perinatology and Birth Defects/Teratology","De Gruyter Brill","For-profit","Hybrid","1418"
"Journal of Perinatology","Development - Perinatology and Birth Defects/Teratology","Springer Nature","For-profit associated with a society","Hybrid","3188"
"Journal of Pest Science","Ecology & Evolution - Applied Ecology","Springer Nature","For-profit","Hybrid","2120"
"Journal of Pharmaceutical And Biomedical Analysis","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","2833"
"Journal of Pharmaceutical Sciences","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","2750"
"Journal of Pharmacokinetics and Pharmacodynamics","Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","2144"
"Journal of Pharmacological and Toxicological Methods","Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit","Hybrid","3545"
"Journal of Pharmacological Sciences","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit associated with a society","OA","98"
"Journal of Pharmacy and Pharmacology","Molecular & Cellular Biology - Pharmacology and Toxicology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2189"
"Journal of Photochemistry and Photobiology B: Biology","Generalist","Elsevier","For-profit","Hybrid","2032"
"Journal of Phycology","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","2547"
"Journal of Physical Activity and Health","Anatomy & Physiology - Sport Science","Human Kinetics","For-profit associated with a society","Hybrid","2043"
"Journal of Physiology","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","2697"
"Journal of Physiology and Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Springer Nature","For-profit associated with a society","OA","3000"
"Journal of Pineal Research","Neurosciences - Neurophysiology","John Wiley & Sons","For-profit","Hybrid","3167"
"Journal of Plankton Research","Ecology & Evolution - Evolution","Oxford University Press (OUP)","University Press","Hybrid","2478"
"Journal of Plant Ecology","Ecology & Evolution - Genetics; Plants - Ecology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","1796"
"Journal of Plant Growth Regulation","Plants - Development","Springer Nature","For-profit","Hybrid","2937"
"Journal of Plant Physiology","Plants - Physiology","Elsevier","For-profit","Hybrid","2668"
"Journal of Plant Research","Ecology & Evolution - Genetics; Plants - Generalist","Springer Nature","For-profit associated with a society","Hybrid","2200"
"Journal of Pollination Ecology","Ecology & Evolution - Genetics","International Commission on Plant Pollinator Relations","Non-profit","OA diamond","0"
